total_cases,crime_type_diversity,avg_gravity,age,is_priority,cases_per_year,recidivism_risk
7,6,1.86,31,0,3.5,HIGH
6,4,1.67,23,0,3.0,HIGH
6,5,1.67,34,0,3.0,HIGH
2,2,2.0,48,0,1.0,HIGH
3,3,1.67,32,0,1.5,HIGH
4,3,1.5,29,0,2.0,HIGH
4,4,1.5,31,0,2.0,HIGH
5,3,1.4,28,0,2.5,HIGH
7,6,1.29,25,0,3.5,HIGH
6,3,2.0,31,0,3.0,HIGH
25,4,1.04,40,0,12.5,HIGH
25,3,1.04,19,0,12.5,HIGH
2,2,1.5,27,0,1.0,HIGH
2,2,1.5,43,0,1.0,HIGH
1,1,2.0,34,0,0.5,LOW
1,1,2.0,26,0,0.5,LOW
2,1,2.0,28,0,1.0,HIGH
8,6,1.5,33,0,4.0,HIGH
1,1,2.0,15,0,0.5,LOW
31,5,1.19,37,0,15.5,HIGH
20,6,1.8,18,0,10.0,HIGH
7,7,1.57,28,0,3.5,HIGH
5,5,1.4,32,0,2.5,HIGH
1,1,2.0,20,0,0.5,LOW
9,5,1.89,35,0,4.5,HIGH
3,2,2.0,37,0,1.5,HIGH
2,2,1.5,58,0,1.0,HIGH
6,6,1.67,41,0,3.0,HIGH
6,5,1.67,32,0,3.0,HIGH
32,4,1.94,22,0,16.0,HIGH
7,6,1.29,23,0,3.5,HIGH
5,4,1.6,40,0,2.5,HIGH
10,6,1.7,27,0,5.0,HIGH
8,6,1.38,51,0,4.0,HIGH
10,7,1.6,36,0,5.0,HIGH
4,2,2.0,32,0,2.0,HIGH
11,6,1.45,25,0,5.5,HIGH
7,5,1.57,36,0,3.5,HIGH
2,2,2.0,32,0,1.0,HIGH
2,1,2.0,18,0,1.0,HIGH
6,5,1.83,39,0,3.0,HIGH
9,5,1.89,28,0,4.5,HIGH
7,3,1.57,27,0,3.5,HIGH
7,6,1.29,36,0,3.5,HIGH
2,2,2.0,39,0,1.0,HIGH
1,1,2.0,31,0,0.5,LOW
2,1,2.0,16,0,1.0,HIGH
5,4,1.4,31,0,2.5,HIGH
2,1,2.0,15,0,1.0,HIGH
4,3,2.0,32,0,2.0,HIGH
14,8,1.57,38,0,7.0,HIGH
36,8,1.86,33,0,18.0,HIGH
41,6,1.9,16,0,20.5,HIGH
2,2,1.5,30,0,1.0,HIGH
6,5,1.33,25,0,3.0,HIGH
1,1,1.0,34,0,0.5,LOW
4,2,2.0,41,0,2.0,HIGH
5,4,1.2,44,0,2.5,HIGH
4,2,1.75,15,0,2.0,HIGH
63,9,1.14,26,0,31.5,HIGH
4,3,1.25,18,0,2.0,HIGH
27,2,1.04,33,0,13.5,HIGH
3,3,1.67,26,0,1.5,HIGH
47,5,1.98,15,0,23.5,HIGH
8,5,1.5,37,0,4.0,HIGH
4,3,1.25,31,0,2.0,HIGH
5,4,1.4,32,0,2.5,HIGH
9,5,1.33,31,0,4.5,HIGH
4,3,1.25,49,0,2.0,HIGH
1,1,2.0,31,0,0.5,LOW
5,4,1.8,30,0,2.5,HIGH
5,4,1.4,28,0,2.5,HIGH
6,4,1.33,24,0,3.0,HIGH
8,4,1.88,29,0,4.0,HIGH
4,4,1.5,45,0,2.0,HIGH
6,5,1.5,36,0,3.0,HIGH
