CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,IT_ACT,43,1,1
1,IT_ACT,66D,2,2
2,IT_ACT,66C,1,1
2,IT_ACT,43,2,2
2,IT_ACT,66D,3,3
3,IT_ACT,66D,1,1
3,IT_ACT,66C,2,2
4,IT_ACT,66D,1,1
5,IT_ACT,43,1,1
5,IT_ACT,66C,2,2
5,IT_ACT,66D,3,3
6,IT_ACT,66D,1,1
6,IT_ACT,43,2,2
6,IT_ACT,66C,3,3
7,IT_ACT,43,1,1
7,IT_ACT,66D,2,2
7,IT_ACT,66C,3,3
8,IT_ACT,43,1,1
9,IT_ACT,66D,1,1
9,IT_ACT,43,2,2
10,IT_ACT,66D,1,1
11,IT_ACT,43,1,1
11,IT_ACT,66C,2,2
11,IT_ACT,66D,3,3
12,IT_ACT,66C,1,1
12,IT_ACT,66D,2,2
12,IT_ACT,43,3,3
13,IT_ACT,66D,1,1
13,IT_ACT,43,2,2
13,IT_ACT,66C,3,3
14,IT_ACT,66C,1,1
14,IT_ACT,66D,2,2
15,IT_ACT,43,1,1
15,IT_ACT,66C,2,2
15,IT_ACT,66D,3,3
16,IT_ACT,66D,1,1
16,IT_ACT,43,2,2
17,IT_ACT,43,1,1
17,IT_ACT,66D,2,2
18,IT_ACT,43,1,1
18,IT_ACT,66C,2,2
19,IT_ACT,66D,1,1
20,IT_ACT,66D,1,1
21,IT_ACT,66D,1,1
21,IT_ACT,43,2,2
22,IT_ACT,66D,1,1
22,IT_ACT,66C,2,2
23,IT_ACT,43,1,1
23,IT_ACT,66C,2,2
24,IT_ACT,66C,1,1
24,IT_ACT,43,2,2
25,IT_ACT,43,1,1
25,IT_ACT,66D,2,2
26,IT_ACT,43,1,1
27,IT_ACT,66D,1,1
27,IT_ACT,66C,2,2
27,IT_ACT,43,3,3
28,IT_ACT,66C,1,1
29,IT_ACT,66C,1,1
29,IT_ACT,43,2,2
29,IT_ACT,66D,3,3
30,IT_ACT,66D,1,1
30,IT_ACT,43,2,2
31,IT_ACT,66C,1,1
32,IT_ACT,43,1,1
32,IT_ACT,66D,2,2
32,IT_ACT,66C,3,3
33,IT_ACT,43,1,1
33,IT_ACT,66D,2,2
34,IT_ACT,66D,1,1
34,IT_ACT,43,2,2
34,IT_ACT,66C,3,3
35,IT_ACT,43,1,1
35,IT_ACT,66C,2,2
35,IT_ACT,66D,3,3
36,IT_ACT,43,1,1
37,IT_ACT,66C,1,1
37,IT_ACT,66D,2,2
37,IT_ACT,43,3,3
38,IT_ACT,43,1,1
38,IT_ACT,66C,2,2
39,IT_ACT,66C,1,1
40,IT_ACT,66D,1,1
40,IT_ACT,43,2,2
40,IT_ACT,66C,3,3
41,IT_ACT,43,1,1
41,IT_ACT,66C,2,2
41,IT_ACT,66D,3,3
42,IT_ACT,66C,1,1
43,IT_ACT,43,1,1
43,IT_ACT,66C,2,2
44,IT_ACT,66D,1,1
44,IT_ACT,66C,2,2
44,IT_ACT,43,3,3
45,IT_ACT,66C,1,1
46,IT_ACT,43,1,1
46,IT_ACT,66D,2,2
46,IT_ACT,66C,3,3
47,IT_ACT,66C,1,1
48,IT_ACT,66D,1,1
48,IT_ACT,43,2,2
49,IT_ACT,43,1,1
49,IT_ACT,66D,2,2
50,IT_ACT,66D,1,1
51,IT_ACT,66D,1,1
52,IT_ACT,43,1,1
53,IT_ACT,43,1,1
54,IT_ACT,66C,1,1
54,IT_ACT,66D,2,2
54,IT_ACT,43,3,3
55,IT_ACT,66C,1,1
56,IT_ACT,43,1,1
56,IT_ACT,66D,2,2
57,IT_ACT,66D,1,1
57,IT_ACT,66C,2,2
57,IT_ACT,43,3,3
58,IT_ACT,66D,1,1
58,IT_ACT,66C,2,2
59,IT_ACT,66D,1,1
59,IT_ACT,43,2,2
60,IT_ACT,66D,1,1
60,IT_ACT,43,2,2
61,IT_ACT,66D,1,1
61,IT_ACT,43,2,2
61,IT_ACT,66C,3,3
62,IT_ACT,66C,1,1
62,IT_ACT,66D,2,2
63,IT_ACT,66C,1,1
63,IT_ACT,66D,2,2
64,IT_ACT,66C,1,1
65,IT_ACT,66C,1,1
66,IT_ACT,43,1,1
66,IT_ACT,66D,2,2
66,IT_ACT,66C,3,3
67,IT_ACT,66C,1,1
67,IT_ACT,66D,2,2
67,IT_ACT,43,3,3
68,IT_ACT,66C,1,1
68,IT_ACT,43,2,2
68,IT_ACT,66D,3,3
69,IT_ACT,43,1,1
69,IT_ACT,66D,2,2
70,IT_ACT,43,1,1
71,IT_ACT,66D,1,1
71,IT_ACT,43,2,2
72,IT_ACT,66D,1,1
72,IT_ACT,66C,2,2
73,IT_ACT,66C,1,1
73,IT_ACT,66D,2,2
73,IT_ACT,43,3,3
74,IT_ACT,66D,1,1
74,IT_ACT,66C,2,2
75,IT_ACT,66D,1,1
75,IT_ACT,66C,2,2
75,IT_ACT,43,3,3
76,IT_ACT,66D,1,1
76,IT_ACT,43,2,2
76,IT_ACT,66C,3,3
77,IT_ACT,43,1,1
77,IT_ACT,66C,2,2
77,IT_ACT,66D,3,3
78,IT_ACT,43,1,1
78,IT_ACT,66C,2,2
78,IT_ACT,66D,3,3
79,IT_ACT,43,1,1
80,IT_ACT,66C,1,1
80,IT_ACT,66D,2,2
81,IT_ACT,66D,1,1
81,IT_ACT,66C,2,2
82,IT_ACT,43,1,1
82,IT_ACT,66D,2,2
83,IT_ACT,43,1,1
83,IT_ACT,66C,2,2
83,IT_ACT,66D,3,3
84,IT_ACT,66D,1,1
84,IT_ACT,66C,2,2
84,IT_ACT,43,3,3
85,IT_ACT,66D,1,1
85,IT_ACT,43,2,2
86,IT_ACT,66D,1,1
86,IT_ACT,66C,2,2
86,IT_ACT,43,3,3
87,IT_ACT,43,1,1
87,IT_ACT,66D,2,2
87,IT_ACT,66C,3,3
88,IT_ACT,66C,1,1
88,IT_ACT,66D,2,2
88,IT_ACT,43,3,3
89,IT_ACT,66D,1,1
89,IT_ACT,43,2,2
89,IT_ACT,66C,3,3
90,IT_ACT,66C,1,1
90,IT_ACT,43,2,2
90,IT_ACT,66D,3,3
91,IT_ACT,66D,1,1
91,IT_ACT,66C,2,2
92,IT_ACT,66D,1,1
93,IT_ACT,66C,1,1
93,IT_ACT,66D,2,2
93,IT_ACT,43,3,3
94,IT_ACT,66D,1,1
94,IT_ACT,43,2,2
94,IT_ACT,66C,3,3
95,IT_ACT,66C,1,1
95,IT_ACT,66D,2,2
96,IT_ACT,66D,1,1
97,IT_ACT,43,1,1
97,IT_ACT,66D,2,2
97,IT_ACT,66C,3,3
98,IT_ACT,66D,1,1
98,IT_ACT,66C,2,2
98,IT_ACT,43,3,3
99,IT_ACT,66C,1,1
99,IT_ACT,43,2,2
99,IT_ACT,66D,3,3
100,IT_ACT,66C,1,1
100,IT_ACT,43,2,2
100,IT_ACT,66D,3,3
101,IT_ACT,43,1,1
101,IT_ACT,66D,2,2
101,IT_ACT,66C,3,3
102,IT_ACT,66C,1,1
102,IT_ACT,66D,2,2
103,IT_ACT,43,1,1
104,IT_ACT,66C,1,1
104,IT_ACT,43,2,2
105,IT_ACT,66D,1,1
105,IT_ACT,43,2,2
105,IT_ACT,66C,3,3
106,IT_ACT,43,1,1
107,IT_ACT,66C,1,1
108,IT_ACT,43,1,1
108,IT_ACT,66D,2,2
108,IT_ACT,66C,3,3
109,IT_ACT,66C,1,1
110,IT_ACT,66D,1,1
110,IT_ACT,43,2,2
111,IT_ACT,43,1,1
112,IT_ACT,66D,1,1
113,IT_ACT,43,1,1
114,IT_ACT,66D,1,1
114,IT_ACT,43,2,2
115,IT_ACT,66D,1,1
115,IT_ACT,66C,2,2
115,IT_ACT,43,3,3
116,IT_ACT,66D,1,1
116,IT_ACT,66C,2,2
117,IT_ACT,66D,1,1
118,IT_ACT,66C,1,1
118,IT_ACT,43,2,2
119,IT_ACT,66C,1,1
119,IT_ACT,66D,2,2
120,IT_ACT,43,1,1
121,IT_ACT,66C,1,1
121,IT_ACT,43,2,2
121,IT_ACT,66D,3,3
122,IT_ACT,66D,1,1
123,IT_ACT,43,1,1
123,IT_ACT,66C,2,2
123,IT_ACT,66D,3,3
124,IT_ACT,43,1,1
124,IT_ACT,66C,2,2
125,IT_ACT,43,1,1
125,IT_ACT,66D,2,2
125,IT_ACT,66C,3,3
126,IT_ACT,66C,1,1
126,IT_ACT,66D,2,2
126,IT_ACT,43,3,3
127,IT_ACT,66C,1,1
127,IT_ACT,43,2,2
127,IT_ACT,66D,3,3
128,IT_ACT,66C,1,1
128,IT_ACT,66D,2,2
128,IT_ACT,43,3,3
129,IT_ACT,66C,1,1
129,IT_ACT,66D,2,2
130,IT_ACT,66C,1,1
130,IT_ACT,43,2,2
131,IT_ACT,66D,1,1
131,IT_ACT,43,2,2
131,IT_ACT,66C,3,3
132,IT_ACT,43,1,1
133,IT_ACT,66D,1,1
133,IT_ACT,66C,2,2
133,IT_ACT,43,3,3
134,IT_ACT,66C,1,1
134,IT_ACT,66D,2,2
134,IT_ACT,43,3,3
135,IT_ACT,43,1,1
135,IT_ACT,66D,2,2
136,IT_ACT,66D,1,1
137,IT_ACT,66C,1,1
137,IT_ACT,43,2,2
138,IT_ACT,66C,1,1
138,IT_ACT,66D,2,2
138,IT_ACT,43,3,3
139,IT_ACT,43,1,1
140,IT_ACT,43,1,1
141,IT_ACT,66D,1,1
142,IT_ACT,66D,1,1
142,IT_ACT,43,2,2
143,IT_ACT,66D,1,1
143,IT_ACT,43,2,2
143,IT_ACT,66C,3,3
144,IT_ACT,43,1,1
144,IT_ACT,66C,2,2
145,IT_ACT,66C,1,1
145,IT_ACT,66D,2,2
146,IT_ACT,66D,1,1
146,IT_ACT,43,2,2
146,IT_ACT,66C,3,3
147,IT_ACT,66D,1,1
148,IT_ACT,66D,1,1
148,IT_ACT,43,2,2
148,IT_ACT,66C,3,3
149,IT_ACT,66C,1,1
149,IT_ACT,43,2,2
149,IT_ACT,66D,3,3
150,IT_ACT,66C,1,1
151,IPC,420,1,1
152,IPC,420,1,1
153,IPC,420,1,1
154,IPC,420,1,1
155,IPC,420,1,1
156,IPC,420,1,1
157,IPC,420,1,1
158,IPC,420,1,1
159,IPC,420,1,1
160,IPC,420,1,1
161,IPC,420,1,1
162,IPC,420,1,1
163,IPC,420,1,1
164,IPC,420,1,1
165,IPC,420,1,1
166,IPC,420,1,1
167,IPC,420,1,1
168,IPC,420,1,1
169,IPC,420,1,1
170,IPC,420,1,1
171,IPC,420,1,1
172,IPC,420,1,1
173,IPC,420,1,1
174,IPC,420,1,1
175,IPC,420,1,1
176,IPC,420,1,1
177,IPC,420,1,1
178,IPC,420,1,1
179,IPC,420,1,1
180,IPC,420,1,1
181,IPC,420,1,1
182,IPC,420,1,1
183,IPC,420,1,1
184,IPC,420,1,1
185,IPC,420,1,1
186,IPC,420,1,1
187,IPC,420,1,1
188,IPC,420,1,1
189,IPC,420,1,1
190,IPC,420,1,1
191,IPC,420,1,1
192,IPC,420,1,1
193,IPC,420,1,1
194,IPC,420,1,1
