ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,1,2,2024-07-07,1,1,6,44,3,4,1,0
2,1,1,2024-06-16,1,1,6,1,3,3,1,0
3,5,2,2023-08-04,1,2,14,153,4,13,1,0
4,5,1,2023-08-02,1,2,14,127,5,12,1,0
5,7,1,2024-05-18,1,1,10,65,3,16,1,0
6,7,2,2024-05-26,1,1,10,14,2,15,1,0
7,8,1,2024-07-19,1,1,10,55,3,17,1,0
8,10,1,2023-06-20,1,2,17,103,4,20,1,0
9,13,1,2023-03-24,1,2,18,161,6,29,1,0
10,17,1,2024-07-14,1,1,8,4,3,38,1,0
11,18,1,2024-08-13,1,1,8,11,1,40,1,0
12,20,1,2024-05-17,1,1,7,49,3,45,1,0
13,22,1,2024-06-12,1,1,6,13,2,48,1,0
14,22,1,2024-06-24,1,1,6,51,2,49,1,0
15,24,1,2023-06-26,1,2,15,142,5,54,1,0
16,28,1,2023-10-06,1,2,16,112,5,66,1,0
17,33,1,2024-04-12,1,2,17,87,5,81,1,0
18,34,1,2024-11-08,1,2,12,121,5,83,1,0
19,34,1,2024-11-22,1,2,12,82,5,82,1,0
20,35,2,2023-07-25,1,1,6,38,1,85,1,0
21,36,1,2025-01-28,1,1,9,2,1,86,1,0
22,36,1,2025-01-23,1,1,9,18,2,88,1,0
23,37,1,2023-11-24,1,1,7,28,3,89,1,0
24,39,1,2023-06-26,1,2,19,162,6,93,1,0
25,39,1,2023-06-22,1,2,19,114,4,94,1,0
26,41,1,2024-11-28,1,1,4,58,3,96,1,0
27,44,1,2024-09-20,1,2,18,114,6,103,1,0
28,45,1,2024-02-25,1,2,14,97,4,107,1,0
29,45,1,2024-02-15,1,2,14,79,4,108,1,0
30,46,1,2024-04-01,1,1,4,18,3,109,1,0
31,50,2,2024-12-19,1,2,19,82,5,121,1,0
32,51,1,2023-02-03,1,2,14,111,6,125,1,0
33,51,1,2023-02-24,1,2,14,124,6,122,1,0
34,52,1,2024-02-09,1,2,17,128,4,127,1,0
35,52,1,2024-01-30,1,2,17,139,6,129,1,0
36,53,1,2024-09-08,1,1,3,62,1,130,1,0
37,57,2,2023-07-07,1,2,15,95,4,143,1,0
38,57,1,2023-07-19,1,2,15,89,6,142,1,0
39,59,1,2023-09-24,1,2,18,87,4,148,1,0
40,61,1,2024-07-04,1,2,16,161,6,153,1,0
41,61,1,2024-07-06,1,2,16,127,5,152,1,0
42,62,1,2023-09-07,1,2,12,128,6,155,1,0
43,67,2,2023-09-28,1,2,15,144,4,161,1,0
44,67,1,2023-10-01,1,2,15,151,5,160,1,0
45,71,2,2023-05-07,1,2,15,160,6,169,1,0
46,74,1,2024-05-26,1,1,8,26,3,174,1,0
47,78,1,2025-01-07,1,2,19,105,6,184,1,0
48,79,1,2025-01-23,1,1,3,27,1,186,1,0
49,84,1,2024-04-27,1,2,17,111,4,196,1,0
50,86,1,2023-08-22,1,2,16,158,4,199,1,0
51,90,2,2024-10-13,1,1,6,55,1,208,1,0
52,91,1,2024-07-17,1,2,18,121,6,209,1,0
53,91,2,2024-07-24,1,2,18,138,4,210,1,0
54,95,1,2023-07-04,1,1,6,73,2,220,1,0
55,95,1,2023-07-21,1,1,6,64,3,221,1,0
56,96,1,2024-11-30,1,1,10,46,3,222,1,0
57,96,1,2024-12-16,1,1,10,55,2,223,1,0
58,101,1,2024-01-05,1,2,14,89,6,237,1,0
59,102,1,2024-01-19,1,1,8,16,1,239,1,0
60,103,1,2024-08-11,1,1,9,35,2,241,1,0
61,104,1,2023-05-08,1,2,19,81,6,242,1,0
62,106,1,2023-05-13,1,2,13,150,6,244,1,0
63,106,1,2023-05-31,1,2,13,155,4,245,1,0
64,107,1,2024-02-03,1,1,8,77,3,248,1,0
65,107,1,2024-02-08,1,1,8,32,2,247,1,0
66,111,2,2024-05-18,1,2,19,88,5,259,1,0
67,114,1,2023-11-14,1,2,14,115,6,262,1,0
68,115,1,2023-11-17,1,1,9,68,3,265,1,0
69,115,1,2023-11-24,1,1,9,16,1,267,1,0
70,117,1,2023-12-06,1,2,17,83,4,270,1,0
71,118,1,2024-03-28,1,1,9,8,1,271,1,0
72,121,1,2024-03-13,1,1,4,50,3,280,1,0
73,122,1,2024-07-30,1,1,6,34,2,281,1,0
74,122,1,2024-07-22,1,1,6,34,3,282,1,0
75,123,2,2023-07-30,1,2,13,105,4,284,1,0
76,125,1,2023-03-16,1,1,7,2,3,288,1,0
77,126,1,2023-05-10,1,2,13,137,4,290,1,0
78,128,1,2024-05-21,1,2,19,78,6,293,1,0
79,128,2,2024-05-15,1,2,19,91,5,296,1,0
80,130,2,2023-09-12,1,2,13,126,6,300,1,0
81,131,1,2023-11-07,1,1,4,1,2,302,1,0
82,133,1,2024-01-26,1,2,12,79,6,307,1,0
83,134,1,2023-03-28,1,1,3,55,3,309,1,0
84,134,1,2023-03-24,1,1,3,26,2,308,1,0
85,137,1,2024-08-31,1,1,4,41,2,313,1,0
86,142,1,2023-05-10,1,2,18,95,6,325,1,0
87,144,1,2024-05-28,1,2,18,145,4,328,1,0
88,147,1,2023-02-17,1,2,12,88,6,336,1,0
89,147,1,2023-03-13,1,2,12,161,4,337,1,0
90,148,1,2023-09-30,1,1,5,42,1,338,1,0
91,151,1,2024-09-29,1,21,218,1720,58,345,1,0
92,151,2,2024-10-23,1,21,218,1668,59,344,1,0
93,155,1,2024-08-19,1,21,218,1659,57,354,1,0
94,155,1,2024-09-08,1,21,218,1667,59,355,1,0
95,156,1,2024-09-14,1,3,21,201,8,356,1,0
96,157,1,2023-07-14,1,21,213,1671,58,358,1,0
97,160,1,2023-12-08,1,3,24,217,8,363,1,0
98,163,1,2024-12-07,1,21,219,1734,57,368,1,0
99,164,1,2024-03-26,1,21,213,1731,56,369,1,0
100,173,1,2023-02-22,1,21,220,1727,59,391,1,0
101,173,1,2023-02-25,1,21,220,1670,56,394,1,0
102,175,1,2023-03-10,1,21,217,1678,57,400,1,0
103,176,1,2024-10-23,1,21,217,1720,59,402,1,0
104,180,1,2024-12-25,1,21,216,1696,59,411,1,0
105,183,1,2023-01-18,1,21,221,1678,56,420,1,0
106,184,2,2023-07-18,1,21,217,1673,56,424,1,0
107,184,1,2023-07-14,1,21,217,1680,59,425,1,0
108,186,1,2023-04-07,1,3,30,182,7,431,1,0
109,188,1,2023-02-26,1,21,214,1686,57,436,1,0
110,191,1,2023-04-28,1,21,220,1670,58,445,1,0
111,193,1,2024-04-05,1,3,27,176,8,447,1,0
112,194,1,2023-06-15,1,21,220,1678,57,451,1,0
113,195,1,2024-06-13,1,21,214,1720,59,457,1,0
114,196,1,2023-07-22,1,3,23,172,8,458,1,0
115,200,1,2024-06-06,1,3,21,210,7,467,1,0
116,200,1,2024-05-26,1,3,21,246,7,466,1,0
117,201,1,2023-03-05,1,3,25,176,7,470,1,0
118,205,1,2023-04-08,1,21,214,1657,58,480,1,0
119,206,1,2025-01-01,1,3,25,220,8,481,1,0
120,209,1,2023-11-08,1,21,219,1667,56,489,1,0
121,210,1,2023-09-02,1,3,22,212,8,490,1,0
122,216,1,2023-04-22,1,21,218,1656,56,507,1,0
123,216,1,2023-04-25,1,21,218,1707,59,506,1,0
