CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,18,2024-10-18 05:58:17,C,8
2,19,2024-09-19 18:09:52,A,125
3,21,2023-09-02 09:26:46,B,154
4,26,2024-01-08 21:07:41,A,90
5,27,2024-08-06 09:19:43,A,1
6,30,2025-01-29 02:50:59,A,106
7,31,2024-05-31 07:15:41,B,117
8,32,2024-11-18 23:24:13,A,13
9,35,2023-11-02 03:04:49,A,15
10,38,2024-05-12 12:32:40,A,145
11,41,2025-05-16 00:54:00,A,34
12,43,2023-08-08 07:37:29,A,138
13,45,2024-06-03 17:20:47,A,99
14,53,2025-02-12 22:22:29,A,27
15,54,2024-03-06 11:09:45,A,155
16,57,2023-08-19 17:15:56,B,155
17,58,2025-04-03 15:01:56,A,153
18,60,2024-10-04 22:38:51,A,89
19,62,2024-01-07 06:19:59,A,112
20,65,2024-04-19 07:23:28,C,28
21,68,2024-12-31 16:38:02,A,45
22,71,2023-06-25 05:59:09,A,111
23,75,2025-01-05 22:07:39,C,66
24,77,2024-08-26 02:57:09,A,127
25,79,2025-05-28 14:35:04,A,46
26,80,2023-12-11 03:03:45,A,92
27,81,2025-03-07 22:36:46,C,100
28,89,2024-01-06 08:55:58,A,14
29,91,2024-08-25 18:28:55,A,148
30,92,2024-01-21 21:37:33,A,107
31,94,2024-03-15 17:40:15,A,135
32,97,2023-07-08 05:12:01,A,46
33,98,2024-11-14 02:42:27,A,106
34,100,2025-01-18 20:46:16,A,49
35,101,2024-02-09 09:47:52,A,125
36,102,2024-07-10 16:11:16,A,43
37,108,2023-05-31 06:47:56,A,112
38,109,2025-05-31 08:45:33,B,64
39,110,2023-05-31 13:26:59,A,146
40,116,2024-11-01 10:22:12,A,154
41,121,2024-07-07 09:13:47,B,75
42,122,2024-08-19 13:52:41,A,71
43,123,2023-09-26 16:44:42,A,134
44,127,2024-06-29 10:48:26,A,105
45,128,2024-10-19 17:12:22,A,142
46,131,2024-01-04 22:55:39,A,9
47,132,2024-12-29 22:33:41,A,111
48,133,2024-04-08 23:23:46,B,81
49,141,2024-04-24 13:23:34,A,2
50,148,2023-10-14 06:56:33,A,72
51,152,2024-02-28 17:13:12,A,180
52,153,2024-03-17 19:41:05,A,1662
53,164,2024-03-30 19:48:17,A,1649
