DistrictID,DistrictName,StateID,Active
1,Bengaluru Urban,1,1
2,Bengaluru Rural,1,1
3,Mysuru,1,1
4,Tumakuru,1,1
5,Belagavi,1,1
6,Kalaburagi,1,1
7,Mangaluru,1,1
8,Shivamogga,1,1
9,Davanagere,1,1
10,Ballari,1,1
11,Vijayapura,1,1
12,Bagalkote,1,1
13,Dharwad,1,1
14,Gadag,1,1
15,Haveri,1,1
16,Uttara Kannada,1,1
17,Udupi,1,1
18,Chikkamagaluru,1,1
19,Hassan,1,1
20,Kodagu,1,1
21,Mandya,1,1
22,Chamarajanagara,1,1
23,Ramanagara,1,1
24,Chikkaballapura,1,1
25,Kolar,1,1
26,Koppal,1,1
27,Raichur,1,1
28,Yadgir,1,1
29,Bidar,1,1
30,Chitradurga,1,1
